SR NO ,Job Title,Company,Skills,Location,Job Type,Salary
140,Teacher,TechNova,"salesforce, CRM, negotiation",Hyderabad,Contract,1125553
141,ML Engineer,CloudNet,"java, spring, hibernate",Pune,Part-time,1590615
142,AI Researcher,DesignCrafters,"customer service, ticketing, troubleshooting",Remote,Part-time,595211
143,Customer Support Specialist,DreamWeddings Inc.,"autocad, site planning, structural analysis",Bangalore,Contract,1343675
144,Network Engineer,Global Travels,"test case writing, selenium, bug tracking",Mumbai,Part-time,1033072
145,Civil Engineer,CreativeHub Agency,"test case writing, selenium, bug tracking",Bangalore,Contract,577790
146,Data Entry Clerk,City Hospital,"aws, docker, kubernetes",Pune,Contract,789339
147,Sales Executive,PharmaCare,"interviewing, HR software, conflict resolution",Hyderabad,Internship,1543215
148,Restaurant Manager,DevSolutions,"interviewing, HR software, conflict resolution",Hyderabad,Full-time,1553111
149,UX Designer,DataWiz,"client relations, campaign strategy, presentations",Bangalore,Full-time,746676
150,Software Engineer,City Hospital,"excel, financial modeling, data interpretation",Hyderabad,Full-time,1768950
151,Data Scientist,CreativeHub Agency,"customer service, ticketing, troubleshooting",Pune,Part-time,2066979
152,Restaurant Manager,CloudNet,"java, spring, hibernate",Bangalore,Part-time,2208138
153,Web Developer,BrightFuture School,"inventory, hospitality management, POS systems",Mumbai,Internship,986162
154,Cybersecurity Analyst,PharmaCare,"react, javascript, css",Hyderabad,Contract,2289671
155,Wedding Manager,BuildRight Infra,"inventory, hospitality management, POS systems",Bangalore,Part-time,1168201
156,Frontend Developer,FinEdge Solutions,"typing, accuracy, database entry",Remote,Part-time,766809
157,Network Engineer,InnovateX,"aws, docker, kubernetes",Pune,Part-time,1995229
158,Legal Advisor,Global Travels,"curriculum planning, classroom management, communication",Bangalore,Internship,1921067
159,ML Engineer,FinEdge Solutions,"autocad, site planning, structural analysis",Hyderabad,Contract,692999
160,Hotel Receptionist,DataWiz,"react, javascript, css",Delhi,Internship,2241697
161,Data Entry Clerk,DataWiz,"java, spring, hibernate",Remote,Full-time,1364758
162,Game Developer,HealthFirst Clinic,"figma, user testing, wireframing",Remote,Contract,1850002
163,QA Analyst,InnovateX,"check-in, phone etiquette, scheduling",Bangalore,Contract,690681
164,Legal Advisor,City Hospital,"legal documentation, compliance, case review",Mumbai,Full-time,2319562
165,Business Analyst,InnovateX,"inventory, hospitality management, POS systems",Hyderabad,Part-time,890337
166,Mobile App Developer,DreamWeddings Inc.,"autocad, site planning, structural analysis",Hyderabad,Contract,1013932
167,DevOps Engineer,Global Travels,"adobe photoshop, illustrator, creativity",Pune,Internship,546993
168,Data Scientist,BuildRight Infra,"patient care, diagnosis, medical documentation",Hyderabad,Full-time,2119524
169,ML Engineer,TechNova,"legal documentation, compliance, case review",Mumbai,Internship,2421832
170,Operations Manager,TechNova,"java, spring, hibernate",Bangalore,Contract,1021394
171,Software Engineer,PharmaCare,"typing, accuracy, database entry",Pune,Full-time,642537
172,Financial Analyst,DreamWeddings Inc.,"java, spring, hibernate",Remote,Internship,1089697
173,Operations Manager,HealthFirst Clinic,"autocad, site planning, structural analysis",Hyderabad,Internship,977116
174,Software Engineer,DreamWeddings Inc.,"client relations, campaign strategy, presentations",Bangalore,Part-time,1611143
175,Database Administrator,CreativeHub Agency,"autocad, site planning, structural analysis",Hyderabad,Internship,1054500
176,Frontend Developer,City Hospital,"test case writing, selenium, bug tracking",Bangalore,Internship,812620
177,Web Developer,DevSolutions,"aws, docker, kubernetes",Bangalore,Contract,1802336
178,UI/UX Designer,BrightFuture School,"event coordination, client management, budgeting",Delhi,Part-time,2452704
179,Business Analyst,CreativeHub Agency,"salesforce, CRM, negotiation",Bangalore,Part-time,1372918
180,QA Analyst,BuildRight Infra,"salesforce, CRM, negotiation",Remote,Full-time,1709883
181,Data Entry Clerk,DataWiz,"typing, accuracy, database entry",Delhi,Contract,1142904
182,Game Developer,Global Travels,"aws, docker, kubernetes",Pune,Part-time,2216592
183,Wedding Manager,CreativeHub Agency,"node.js, express, mongodb",Bangalore,Part-time,1189774
184,Cybersecurity Analyst,CloudNet,"excel, financial modeling, data interpretation",Remote,Contract,721539
185,Cybersecurity Analyst,TechNova,"excel, financial modeling, data interpretation",Mumbai,Full-time,1403811
186,ML Engineer,HealthFirst Clinic,"figma, user testing, wireframing",Bangalore,Internship,1036997
187,Frontend Developer,PharmaCare,"interviewing, HR software, conflict resolution",Pune,Part-time,2364330
188,Cybersecurity Analyst,EduWise Academy,"event coordination, client management, budgeting",Hyderabad,Part-time,1156689
189,System Administrator,CloudNet,"react, javascript, css",Bangalore,Part-time,1406823
190,UI/UX Designer,BizConsult,"react, javascript, css",Hyderabad,Part-time,1707809
191,UI/UX Designer,EduWise Academy,"excel, financial modeling, data interpretation",Mumbai,Part-time,2376436
192,Mobile App Developer,DataWiz,"java, spring, hibernate",Mumbai,Internship,1563576
193,Teacher,DreamWeddings Inc.,"curriculum planning, classroom management, communication",Bangalore,Full-time,885332
194,Data Scientist,CreativeHub Agency,"sql, data visualization, problem solving",Hyderabad,Contract,1917288
195,Database Administrator,DataWiz,"curriculum planning, classroom management, communication",Delhi,Part-time,1771453
196,Frontend Developer,PharmaCare,"adobe photoshop, illustrator, creativity",Bangalore,Part-time,1915116
197,HR Coordinator,DevSolutions,"patient care, diagnosis, medical documentation",Pune,Internship,2420298
198,Cloud Architect,InnovateX,"java, spring, hibernate",Hyderabad,Full-time,1920944
199,Cybersecurity Analyst,DreamWeddings Inc.,"sql, data analysis, tableau",Remote,Internship,1049406
200,Restaurant Manager,City Hospital,"test case writing, selenium, bug tracking",Pune,Contract,940471
201,ML Engineer,CloudNet,"interviewing, HR software, conflict resolution",Bangalore,Full-time,1910913
202,Frontend Developer,BuildRight Infra,"interviewing, HR software, conflict resolution",Mumbai,Internship,752530
203,Network Engineer,InnovateX,"react, javascript, css",Bangalore,Part-time,1129431
204,Customer Support Specialist,HealthFirst Clinic,"curriculum planning, classroom management, communication",Remote,Contract,1894584
205,Graphic Designer,BizConsult,"java, spring, hibernate",Bangalore,Full-time,739266
206,UX Designer,BrightFuture School,"customer service, ticketing, troubleshooting",Hyderabad,Part-time,565674
207,Pharmacist,DesignCrafters,"event coordination, client management, budgeting",Hyderabad,Part-time,2304385
208,ML Engineer,HealthFirst Clinic,"react, javascript, css",Bangalore,Part-time,503668
209,HR Coordinator,CloudNet,"prescription handling, pharma knowledge",Delhi,Contract,1799161
210,Data Entry Clerk,BrightFuture School,"patient care, diagnosis, medical documentation",Remote,Part-time,1155226
211,Software Engineer,HealthFirst Clinic,"customer service, ticketing, troubleshooting",Pune,Contract,636908
212,Backend Engineer,PharmaCare,"node.js, express, mongodb",Delhi,Internship,1803419
213,QA Analyst,TechNova,"event coordination, client management, budgeting",Pune,Contract,953643
214,Game Developer,TechNova,"sql, data analysis, tableau",Delhi,Internship,2078593
215,Marketing Manager,DesignCrafters,"prescription handling, pharma knowledge",Remote,Full-time,1454658
216,Product Manager,BuildRight Infra,"curriculum planning, classroom management, communication",Remote,Internship,801331
217,Sales Executive,BuildRight Infra,"aws, docker, kubernetes",Mumbai,Full-time,1838078
218,Financial Analyst,Global Travels,"java, spring, hibernate",Remote,Internship,1843412
219,System Administrator,FinEdge Solutions,"patient care, diagnosis, medical documentation",Remote,Full-time,1334124
220,Business Analyst,City Hospital,"legal documentation, compliance, case review",Remote,Internship,2104900
221,Customer Support Specialist,DevSolutions,"customer service, ticketing, troubleshooting",Remote,Internship,2034069
222,HR Coordinator,CloudNet,"event coordination, client management, budgeting",Pune,Full-time,2320948
223,Hotel Receptionist,FinEdge Solutions,"curriculum planning, classroom management, communication",Delhi,Part-time,893601
224,Nurse Practitioner,HealthFirst Clinic,"react, javascript, css",Delhi,Part-time,983533
225,Game Developer,PharmaCare,"inventory, hospitality management, POS systems",Hyderabad,Contract,1269847
226,Marketing Manager,FinEdge Solutions,"check-in, phone etiquette, scheduling",Hyderabad,Full-time,2478268
227,Nurse Practitioner,DesignCrafters,"react, javascript, css",Hyderabad,Part-time,1328767
228,AI Researcher,DataWiz,"salesforce, CRM, negotiation",Delhi,Full-time,1399309
229,Business Analyst,DataWiz,"figma, user testing, wireframing",Pune,Contract,674571
230,Network Engineer,TechNova,"sql, data analysis, tableau",Hyderabad,Full-time,1164810
231,Financial Analyst,HealthFirst Clinic,"client relations, campaign strategy, presentations",Mumbai,Contract,2493472
232,Mobile App Developer,DataWiz,"curriculum planning, classroom management, communication",Pune,Part-time,513851
233,Marketing Manager,DesignCrafters,"test case writing, selenium, bug tracking",Mumbai,Contract,2283231
234,Graphic Designer,InnovateX,"autocad, site planning, structural analysis",Mumbai,Full-time,692969
235,Account Director,BuildRight Infra,"customer service, ticketing, troubleshooting",Mumbai,Part-time,2092054
236,Pharmacist,CloudNet,"autocad, site planning, structural analysis",Remote,Contract,1485721
237,Business Analyst,DevSolutions,"sql, data analysis, tableau",Hyderabad,Internship,771069
238,Technical Writer,DevSolutions,"customer service, ticketing, troubleshooting",Bangalore,Contract,1217428
239,Business Analyst,DevSolutions,"react, javascript, css",Remote,Contract,2155039
240,Restaurant Manager,DataWiz,"sql, data analysis, tableau",Mumbai,Internship,2446514
241,Mobile App Developer,DreamWeddings Inc.,"node.js, express, mongodb",Mumbai,Contract,1109743
242,Pharmacist,BrightFuture School,"typing, accuracy, database entry",Remote,Contract,1426444
243,Game Developer,EduWise Academy,"typing, accuracy, database entry",Pune,Full-time,1106682
244,Cybersecurity Analyst,DataWiz,"typing, accuracy, database entry",Bangalore,Full-time,2396200
245,Data Entry Clerk,CloudNet,"customer service, ticketing, troubleshooting",Delhi,Internship,2457931
246,Database Administrator,PharmaCare,"legal documentation, compliance, case review",Mumbai,Part-time,1115760
247,Data Entry Clerk,BizConsult,"node.js, express, mongodb",Delhi,Part-time,1258040
248,Game Developer,PharmaCare,"sql, data visualization, problem solving",Hyderabad,Part-time,1541939
249,Nurse Practitioner,PharmaCare,"sql, data visualization, problem solving",Pune,Full-time,1286953
250,Nurse Practitioner,DevSolutions,"test case writing, selenium, bug tracking",Pune,Contract,1248134
251,Pharmacist,DevSolutions,"customer service, ticketing, troubleshooting",Mumbai,Part-time,828399
252,Nurse Practitioner,HealthFirst Clinic,"node.js, express, mongodb",Delhi,Internship,1399466
253,UX Designer,DreamWeddings Inc.,"autocad, site planning, structural analysis",Pune,Internship,2454924
254,Marketing Manager,InnovateX,"figma, user testing, wireframing",Remote,Internship,2160519
255,Backend Engineer,BizConsult,"inventory, hospitality management, POS systems",Hyderabad,Internship,1100349
256,Nurse Practitioner,HealthFirst Clinic,"customer service, ticketing, troubleshooting",Mumbai,Part-time,1384099
257,Data Entry Clerk,Global Travels,"test case writing, selenium, bug tracking",Bangalore,Contract,1871527
258,Frontend Developer,InnovateX,"prescription handling, pharma knowledge",Remote,Contract,863592
259,Cloud Architect,FinEdge Solutions,"curriculum planning, classroom management, communication",Delhi,Contract,752333
260,QA Analyst,BizConsult,"sql, data visualization, problem solving",Mumbai,Contract,1458711
261,HR Coordinator,BuildRight Infra,"python, pandas, numpy",Bangalore,Contract,1448619
262,Hotel Receptionist,City Hospital,"inventory, hospitality management, POS systems",Pune,Internship,1615352
263,Data Entry Clerk,CloudNet,"inventory, hospitality management, POS systems",Mumbai,Part-time,771071
264,Mobile App Developer,FinEdge Solutions,"inventory, hospitality management, POS systems",Remote,Full-time,1726233
265,Hotel Receptionist,BrightFuture School,"node.js, express, mongodb",Pune,Contract,2390774
266,Civil Engineer,DevSolutions,"legal documentation, compliance, case review",Delhi,Contract,1055387
267,Graphic Designer,CloudNet,"sql, data analysis, tableau",Bangalore,Full-time,2444010
268,Legal Advisor,PharmaCare,"event coordination, client management, budgeting",Hyderabad,Full-time,2436109
269,Web Developer,HealthFirst Clinic,"patient care, diagnosis, medical documentation",Remote,Contract,2130198
270,Business Analyst,TechNova,"inventory, hospitality management, POS systems",Pune,Contract,2461421
271,Web Developer,TechNova,"salesforce, CRM, negotiation",Pune,Part-time,1722772
272,DevOps Engineer,DataWiz,"python, pandas, numpy",Delhi,Full-time,1415059
273,Blockchain Developer,Global Travels,"inventory, hospitality management, POS systems",Remote,Internship,802852
274,Technical Writer,BizConsult,"legal documentation, compliance, case review",Hyderabad,Part-time,1729676
275,ML Engineer,DesignCrafters,"figma, user testing, wireframing",Pune,Internship,1398590
276,Legal Advisor,DreamWeddings Inc.,"node.js, express, mongodb",Remote,Part-time,1684352
277,Blockchain Developer,HealthFirst Clinic,"sql, data analysis, tableau",Pune,Part-time,2142169
278,Network Engineer,DesignCrafters,"aws, docker, kubernetes",Remote,Full-time,1899801
279,UX Designer,BrightFuture School,"legal documentation, compliance, case review",Delhi,Contract,677172
280,Backend Engineer,PharmaCare,"curriculum planning, classroom management, communication",Bangalore,Part-time,1370693
281,Wedding Manager,City Hospital,"prescription handling, pharma knowledge",Remote,Contract,1137829
282,Sales Executive,FinEdge Solutions,"patient care, diagnosis, medical documentation",Delhi,Full-time,2223348
283,Customer Support Specialist,PharmaCare,"interviewing, HR software, conflict resolution",Bangalore,Full-time,1611203
284,Software Engineer,BrightFuture School,"sql, data analysis, tableau",Remote,Part-time,1740442
285,DevOps Engineer,Global Travels,"excel, financial modeling, data interpretation",Remote,Part-time,925334
286,Customer Support Specialist,DesignCrafters,"node.js, express, mongodb",Hyderabad,Contract,1164314
287,Sales Executive,DreamWeddings Inc.,"salesforce, CRM, negotiation",Bangalore,Part-time,1132151
288,AI Researcher,DreamWeddings Inc.,"salesforce, CRM, negotiation",Remote,Part-time,1360509
289,Data Scientist,BizConsult,"typing, accuracy, database entry",Delhi,Internship,1912423
290,Restaurant Manager,BrightFuture School,"patient care, diagnosis, medical documentation",Delhi,Full-time,1294748
291,Technical Writer,DreamWeddings Inc.,"adobe photoshop, illustrator, creativity",Hyderabad,Contract,2389991
292,Database Administrator,CreativeHub Agency,"event coordination, client management, budgeting",Pune,Full-time,1174125
293,Business Analyst,FinEdge Solutions,"prescription handling, pharma knowledge",Mumbai,Contract,934928
294,Graphic Designer,BizConsult,"interviewing, HR software, conflict resolution",Bangalore,Full-time,1847805
295,Restaurant Manager,Global Travels,"java, spring, hibernate",Remote,Full-time,1620378
296,ML Engineer,CloudNet,"curriculum planning, classroom management, communication",Remote,Contract,1663118
297,Game Developer,Global Travels,"python, pandas, numpy",Delhi,Full-time,1029861
298,Operations Manager,CloudNet,"legal documentation, compliance, case review",Bangalore,Contract,892528
299,Cloud Architect,FinEdge Solutions,"salesforce, CRM, negotiation",Bangalore,Part-time,2447750
300,Customer Support Specialist,CloudNet,"adobe photoshop, illustrator, creativity",Pune,Contract,1012221
301,Web Developer,DesignCrafters,"autocad, site planning, structural analysis",Mumbai,Part-time,690186
302,Technical Writer,DevSolutions,"prescription handling, pharma knowledge",Pune,Internship,1398034
303,Product Manager,BuildRight Infra,"patient care, diagnosis, medical documentation",Pune,Part-time,582508
304,Teacher,EduWise Academy,"java, spring, hibernate",Pune,Full-time,888105
305,Business Analyst,Global Travels,"prescription handling, pharma knowledge",Delhi,Part-time,1122824
306,Account Director,BizConsult,"salesforce, CRM, negotiation",Pune,Internship,2188232
307,AI Researcher,DesignCrafters,"curriculum planning, classroom management, communication",Delhi,Contract,980646
308,UI/UX Designer,BizConsult,"typing, accuracy, database entry",Bangalore,Part-time,2280048
309,Network Engineer,DataWiz,"customer service, ticketing, troubleshooting",Hyderabad,Full-time,1021634
